id;clases_teoria_programadas;clases_practicas_programas;clases_inasistencia_teoria;clases_inasistencia_practica;clases_realizadas_teoria;clases_realizadas_practica;alumno_desarrollo_estado
1;56;66;89;18;8;51;AMARRILLO_PRACTICA
2;95;68;62;54;52;19;AMARILLO_TEORIA
3;24;8;46;16;57;6;ROJO_PRACTICA
4;57;41;95;60;54;44;AMARRILLO_PRACTICA
5;53;85;52;32;88;37;DESERTO
6;38;53;87;13;70;43;FINALIZO
7;22;22;58;85;93;66;AMARRILLO_PRACTICA
8;59;26;66;31;4;84;AMARRILLO_PRACTICA
9;3;44;91;85;60;67;DESERTO
10;83;98;75;41;12;99;ROJO_TEORIA
