id;activo;nombre;nombre_corto;descripcion;documento;horas_teoricas;horas_practicas;numero_clases_teoria;numero_clases_practica;vigencia;costo;imagen;imagen_content_type;curso_id
1;HABILITADO;Senior Account Peso;functionalities;Zapatos;../fake-data/blob/hipster.txt;52306;85331;1684;14226;58690;76029;../fake-data/blob/hipster.png;image/png;1
2;DESHABILITADO;Videojuegos Senior Asociado;EXE Account wireless;Account;../fake-data/blob/hipster.txt;24625;96448;99042;39054;20127;86388;../fake-data/blob/hipster.png;image/png;2
3;DESHABILITADO;HTTP Lari Guapa;Avon Principado Algodón;Vasco Normas leading-edge;../fake-data/blob/hipster.txt;97150;74165;38214;42340;79530;1025;../fake-data/blob/hipster.png;image/png;3
4;HABILITADO;Borders withdrawal Marca;capa metrics Gestionado;24/7 mobile;../fake-data/blob/hipster.txt;45303;75249;78941;15960;22995;95199;../fake-data/blob/hipster.png;image/png;4
5;DESHABILITADO;por e-services;Distrito Masía overriding;solutions Caserio;../fake-data/blob/hipster.txt;3166;15121;76114;34220;74917;24380;../fake-data/blob/hipster.png;image/png;5
6;HABILITADO;Account port;Intranet Won;mesh;../fake-data/blob/hipster.txt;51646;46527;47891;12710;9759;88910;../fake-data/blob/hipster.png;image/png;6
7;HABILITADO;infraestructura;Oficial SAS;hacking Nacional programming;../fake-data/blob/hipster.txt;99142;25160;97800;60560;91809;34666;../fake-data/blob/hipster.png;image/png;7
8;HABILITADO;Interacciones Hormigon óptima;en;aprovechar;../fake-data/blob/hipster.txt;51429;68074;78490;62834;90234;57076;../fake-data/blob/hipster.png;image/png;8
9;DESHABILITADO;programming;Soluciones Account navigating;Granito Identidad Gran;../fake-data/blob/hipster.txt;98208;62307;15519;17138;52499;53624;../fake-data/blob/hipster.png;image/png;9
10;HABILITADO;drive open-source Account;Hogar;firewall Polarizado complejidad;../fake-data/blob/hipster.txt;6578;32061;67813;91857;47292;60537;../fake-data/blob/hipster.png;image/png;10
