id;activo;nombre;nombre_corto;descripcion;imagen;imagen_content_type
1;HABILITADO;Berkshire Descentralizado;Bebes;transform;../fake-data/blob/hipster.png;image/png
2;DESHABILITADO;Martinica logística;Teclado program;Account;../fake-data/blob/hipster.png;image/png
3;DESHABILITADO;didactica Zapatos Marroquinería;transmitting Desarrollador sensor;mano;../fake-data/blob/hipster.png;image/png
4;HABILITADO;Cuentas Electrónica gráfico;Corporativo Bicicleta archivo;Manzana;../fake-data/blob/hipster.png;image/png
5;HABILITADO;Grupo invoice Bulgarian;invoice Bedfordshire;Galicia Conjunto;../fake-data/blob/hipster.png;image/png
6;HABILITADO;Guadalupe Valenciana Ejecutivo;Teclado Queso Hecho;Diseñador Guarani;../fake-data/blob/hipster.png;image/png
7;HABILITADO;invoice Galicia transmit;Reducido Producto reintermediate;web-readiness Mascotas Algodón;../fake-data/blob/hipster.png;image/png
8;DESHABILITADO;direccional optical Optimización;protocol;initiatives Algodón;../fake-data/blob/hipster.png;image/png
9;HABILITADO;Guantes;Granito Paradigma payment;Public-key Ergonómico;../fake-data/blob/hipster.png;image/png
10;DESHABILITADO;Savings;Heredado invoice;Uzbekistan Masía;../fake-data/blob/hipster.png;image/png
