id;nombre;nombre_corto;descripcion;estado_computadora;mac;tipo
1;Teclado transmitting Administrador;connecting Account;Auto Producto;DESHABILITADO;navigate software Account;TABLET
2;Pollo;Marketing up;Baleares transmitting;HABILITADO;Omán definición;SERVIDOR
3;Salchichas sensor;Bedfordshire;24/7 communities;DESHABILITADO;Buckinghamshire SCSI;OTRO
4;multi-byte;Universal Jardines;Andalucía;HABILITADO;Avon Navarra deposit;ESCRITORIO
5;Bacon;input markets;Acero Borders;DESHABILITADO;SCSI Informática Bebes;ESCRITORIO
6;out-of-the-box Pre-emptivo;generating Algodón payment;embrace;DESHABILITADO;optical Rústico;SERVIDOR
7;Comunicaciones Hormigon;Asturias;auxiliary;DESHABILITADO;Checking discreta;CELULAR
8;fritas proyección tangible;Huerta partnerships Arquitecto;Bricolaje invoice models;DESHABILITADO;Kuwait SDD;LAPTOP
9;interactive SAS web-readiness;Andalucía arquitectura;Metal jerarquía;DESHABILITADO;monetize PCI;OTRO
10;neural International bluetooth;navigate;Aragón Guapa;HABILITADO;Entrada Paseo GB;TABLET
