id;activo;tipo;nombre;nombre_corto;descripcion;imagen;imagen_content_type
1;DESHABILITADO;LIBRE;Irak;Sección SMS;alarm Rústico transition;../fake-data/blob/hipster.png;image/png
2;DESHABILITADO;REGULAR;generación convergence;Letonia hack generate;multi-byte Extramuros Pantalones;../fake-data/blob/hipster.png;image/png
3;HABILITADO;PROMOCIONAL;Principado;infrastructures;5th partnerships;../fake-data/blob/hipster.png;image/png
4;DESHABILITADO;LIBRE;Desarrollador Loan;Toallas;Electrónica auxiliary Saudí;../fake-data/blob/hipster.png;image/png
5;DESHABILITADO;PROMOCIONAL;Decoración;Investment Comunidad Hormigon;Borders;../fake-data/blob/hipster.png;image/png
6;DESHABILITADO;REGULAR;jerarquía Denar;global Centrado Orgánico;Guapa;../fake-data/blob/hipster.png;image/png
7;DESHABILITADO;LIBRE;Pakistan;Fantástico payment Analista;Azerbaijanian Denar Moda;../fake-data/blob/hipster.png;image/png
8;HABILITADO;REGULAR;auxiliary Humano Acero;Factores Méjico de;Salud;../fake-data/blob/hipster.png;image/png
9;HABILITADO;PROMOCIONAL;Queso deposit up;exploit feed;Madera;../fake-data/blob/hipster.png;image/png
10;DESHABILITADO;REGULAR;Usabilidad interface Lugar;networks Web;bluetooth Arrabal;../fake-data/blob/hipster.png;image/png
