id;departamento;provincia;distrito;ubigeo
1;engage Extremadura payment;bricks-and-clicks Arquitecto;protocol Práctico;Buckinghamshire Cambridgeshire
2;Azul;abierto navigate;Buckinghamshire Increible;Seguro
3;out-of-the-box Galicia Diseñador;Granito Toallas Creativo;virtual global panel;engage Videojuegos Comunicaciones
4;Pollo;Moda;Refinado overriding Marroquinería;AGP
5;users Mesa;COM;Barrio;Marks web-enabled
6;GB Lilangeni soporte;synthesize Libyan;Factores Subida;sistémica
7;Central;visionary medición;Reactivo engineer;online Paradigma Savings
8;Samoa mindshare Sorprendente;Hormigon hack;Gourde;Gold
9;Horizontal;hack;deliverables Ladrillo Azul;virtual
10;Morado Identidad;Granito;Berkshire;Account Account
