id;activo;tipo;fecha_dia;fecha_dia_sem;programacion_id;fecha_id;horario_catalogo_id;automovil_id
1;HABILITADO;ADMINISTRACION;2022-11-23;6;1;1;1;1
2;HABILITADO;POR_CONFIRMAR;2022-11-23;2;2;2;2;2
3;HABILITADO;ADMINISTRACION;2022-11-23;5;3;3;3;3
4;HABILITADO;ADMINISTRACION;2022-11-23;2;4;4;4;4
5;HABILITADO;ADMINISTRACION;2022-11-23;5;5;5;5;5
6;DESHABILITADO;POR_CONFIRMAR;2022-11-23;6;6;6;6;6
7;HABILITADO;ALUMNO;2022-11-23;6;7;7;7;7
8;DESHABILITADO;ADMINISTRACION;2022-11-23;6;8;8;8;8
9;HABILITADO;POR_CONFIRMAR;2022-11-23;3;9;9;9;9
10;HABILITADO;ALUMNO;2022-11-23;6;10;10;10;10
