id;activo;codigo;hora_inicio;hora_fin;descripcion
1;HABILITADO;22;Helena B;withdraw;iniciativa Azul
2;HABILITADO;13;Producto;programm;haptic
3;HABILITADO;56;Distrito;Rampa Pl;circuit Mauritan
4;HABILITADO;85;Ladrillo;Acero;Congolese País H
5;HABILITADO;26;interfac;Gráfica ;Credit
6;HABILITADO;67;JSON con;up Verde;Joyería Programa
7;DESHABILITADO;4;deposit ;withdraw;matrices Cataluñ
8;DESHABILITADO;63;SCSI inv;Blanco A;Multi Zapatos
9;DESHABILITADO;68;Bolivar ;initiati;Bahamas invoice 
10;HABILITADO;38;Violeta ;Versatil;La Deportes Auto
