id;codigo;estado;numero_documento;fecha;costo_total;alumno_id
1;Loan Pizz;EN_DEUDA;57894;2022-11-23T04:32:02;3338;1
2;DinarXXXX;EN_PAGOS;1641;2022-11-23T21:59:07;6794;2
3;Mobilidad;EN_PAGOS;85739;2022-11-23T11:45:27;1064;3
4;GuamXXXXX;EN_PAGOS;73601;2022-11-23T05:53:25;706;4
5;NacionalX;CANCELADO;20506;2022-11-23T22:03:48;5905;5
6;invoice A;EN_DEUDA;76131;2022-11-24T02:03:51;3095;6
7;up platfo;CANCELADO;32760;2022-11-23T17:00:10;4251;7
8;Operacion;EN_DEUDA;17593;2022-11-23T14:38:33;3922;8
9;CataluñaX;EN_DEUDA;1130;2022-11-23T13:18:21;5484;9
10;PlazaXXXX;CANCELADO;50516;2022-11-23T17:10:39;5533;10
