id;descripcion;imagen;imagen_content_type;documento;cantidad;costo;inscripcion_id
1;Adelante Patatas;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Usabilidad Gorro;34915;1
2;transmit Madera;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Refinado;47173;2
3;Avon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Credit cross-platform;51449;3
4;whiteboard Inversor;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Aragón núcleo proactive;91295;4
5;viral;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Relacciones Camiseta withdrawal;70517;5
6;synthesize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;Loan overriding;49526;6
7;bluetooth;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;local;93353;7
8;Artesanal revolutionary;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;e-business;19149;8
9;generating;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;parsing Coordinador;94590;9
10;cultivate Comodos Hogar;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;magnetic;15893;10
