id;forma_pago;documento_pago;monto;fecha;codigo_op;numero_documento;plazo_pago;inscripcion_id;serie_id
1;TARJETA;FACTURA;6499;2022-11-24;Buckinghamshire ;72165;23;1;1
2;EFECTIVO;NOTA_DE_VENTA;141;2022-11-23;Amarillo;52363;86;2;2
3;TARJETA;NOTA_DE_VENTA;251;2022-11-23;éxito Kenia Cana;72667;275;3;3
4;DEPOSITO_CUENTA;BOLETA;6185;2022-11-23;Checking Mancha;28509;288;4;4
5;EFECTIVO;FACTURA;1417;2022-11-23;Ensalada Corpora;67758;101;5;5
6;EFECTIVO;TICKET;2483;2022-11-23;withdrawal;82880;141;6;6
7;DEPOSITO_CUENTA;NOTA_DE_VENTA;7804;2022-11-24;parse Mauritania;96564;25;7;7
8;TARJETA;FACTURA;2607;2022-11-23;Inversor Granito;86693;227;8;8
9;TARJETA;TICKET;6040;2022-11-24;Riera;32701;83;9;9
10;EFECTIVO;TICKET;4519;2022-11-23;Violeta hack;41650;37;10;10
