id;estado;codigo;fecha_inicio;fecha_fin;deshabilitaciones;fecha;nombre_usuario;profesor_id;automovil_id
1;DESHABILITADO_ENPARTE;de virtual Checking;2022-11-24;2022-11-23;69;2022-11-23T13:22:59;Parque;1;1
2;PROGRAMADO;Gold escalable Patatas;2022-11-23;2022-11-23;68;2022-11-23T11:42:06;orchestrate payment;2;2
3;DESHABILITADO;Regional deposit;2022-11-23;2022-11-23;27;2022-11-23T08:22:29;núcleo;3;3
4;DESHABILITADO_ENPARTE;revolutionize Ergonómico;2022-11-24;2022-11-23;96;2022-11-23T13:42:01;24/7 plataforma invoice;4;4
5;DESHABILITADO;Raton Investment;2022-11-23;2022-11-23;80;2022-11-23T03:47:43;Gabón compress;5;5
6;DESHABILITADO;connecting;2022-11-23;2022-11-23;34;2022-11-23T03:17:21;supply-chains Azul;6;6
7;DESHABILITADO_ENPARTE;withdrawal Contabilidad;2022-11-23;2022-11-23;3;2022-11-23T07:55:01;Artesanal;7;7
8;DESHABILITADO_ENPARTE;Algodón payment;2022-11-23;2022-11-23;40;2022-11-23T23:53:50;Acero;8;8
9;PROGRAMADO;Práctico coherente Jordania;2022-11-23;2022-11-23;95;2022-11-23T22:14:36;Funcionalidad;9;9
10;PROGRAMADO;Cambridgeshire Orgánico withdrawal;2022-11-23;2022-11-23;39;2022-11-23T22:22:57;Leu;10;10
