id;activo;codigo;descripcion;fecha;nombre_usuario;programacion_id
1;HABILITADO;Arquitecto content transmit;Galicia distributed;2022-11-23T19:21:52;basado HDD;1
2;DESHABILITADO;Funcionario El withdrawal;Bedfordshire granular Credit;2022-11-23T15:13:34;Madera;2
3;DESHABILITADO;utilización;Escalinata a Informática;2022-11-23T03:54:16;Guantes;3
4;DESHABILITADO;Travesía;explícita Cambridgeshire;2022-11-23T20:30:26;Colegio synthesize system;4
5;HABILITADO;SMTP reboot;Funcionario application Intercambiable;2022-11-23T07:17:59;benficios;5
6;HABILITADO;Gris Supervisor;Glorieta Avon;2022-11-23T14:15:06;Mascotas Manat;6
7;DESHABILITADO;HTTP Dinánmico niches;Loan ADP bypassing;2022-11-23T04:42:04;up Gestionado;7
8;HABILITADO;Marketing Gerente;Senegal;2022-11-23T18:30:22;parsing Algodón world-class;8
9;DESHABILITADO;Productor Personal Coche;Guapo;2022-11-24T00:26:18;Global Diverso Sierra;9
10;DESHABILITADO;Ergonómico Factores withdrawal;Rial modular;2022-11-23T14:33:44;communities;10
