id;activo;obligatorio;nombre;nombre_corto;costo;imagen;imagen_content_type;tipo_requisito;valores
1;DESHABILITADO;SI;ubiquitous Kuna;quantifying;86508;../fake-data/blob/hipster.png;image/png;NUMERICO;Cine
2;HABILITADO;SI;next-generation Juguetería Sorprendente;HDD a;1447;../fake-data/blob/hipster.png;image/png;SELECTIVO;Convertible Asturias plataforma
3;HABILITADO;SI;Tenge Avon;XSS International;10891;../fake-data/blob/hipster.png;image/png;SELECTIVO;encriptar Quinta Ejecutivo
4;DESHABILITADO;SI;next-generation;generating Desarrollador Ghana;18295;../fake-data/blob/hipster.png;image/png;NINGUNO;parse
5;DESHABILITADO;NO;Ejecutivo Pizza Sabroso;generate colaboración deliverables;9147;../fake-data/blob/hipster.png;image/png;NUMERICO;Haiti Administrador strategic
6;DESHABILITADO;NO;holistic;Aruban Account;53491;../fake-data/blob/hipster.png;image/png;NUMERICO;Operaciones Pantalones Lugar
7;HABILITADO;SI;Salchichas;Berkshire;41496;../fake-data/blob/hipster.png;image/png;NINGUNO;bypassing Asturias
8;HABILITADO;NO;Interno innovadora Rojo;backing;49114;../fake-data/blob/hipster.png;image/png;SELECTIVO;Paradigma
9;DESHABILITADO;SI;backing;deposit Berkshire Cliente;76800;../fake-data/blob/hipster.png;image/png;NINGUNO;Jefe
10;DESHABILITADO;SI;Ergonómico withdrawal Rial;Buckinghamshire red;48549;../fake-data/blob/hipster.png;image/png;SELECTIVO;Sudanese
