id;activo;codigo;central;nombre;nombre_corto;nombre_abreviado;fecha_inicio;telefono;telefono_1;imagen;imagen_content_type;direccion;distrito_id
1;HABILITADO;Neg;SI;interfaz;Loan Cambridgeshire Estratega;dinámica initiat;2022-11-23;payment Distrit;auxiliary Iraqi;../fake-data/blob/hipster.png;image/png;hardware Ejecutivo;1
2;HABILITADO;Ama;NO;Oficial Lituania input;Maldivas;24/365;2022-11-23;Pequeño Account;Oro;../fake-data/blob/hipster.png;image/png;up;2
3;DESHABILITADO;XML;NO;Andalucía Argentina withdrawal;en;infomediaries Su;2022-11-23;Directo portals;navigating ubiq;../fake-data/blob/hipster.png;image/png;Refinado Cambridgeshire;3
4;DESHABILITADO;sei;NO;empower Marca Loan;Hogar deposit Sorprendente;Negro;2022-11-24;SAS;navigate intang;../fake-data/blob/hipster.png;image/png;proactive Aragón;4
5;HABILITADO;Est;NO;EXE Pequeño Cataluña;PNG Buckinghamshire Baleares;synthesize pixel;2022-11-23;Equilibrado;Tácticas;../fake-data/blob/hipster.png;image/png;Salchichas alarm Decoración;5
6;DESHABILITADO;Buc;SI;Oficial open-source;1080p;data-warehouse P;2022-11-23;Auto AI;Cataluña Sorpre;../fake-data/blob/hipster.png;image/png;bypass Marca;6
7;DESHABILITADO;Sab;SI;Opcional leading-edge Morado;División cliente;input;2022-11-23;Algodón;Amarillo compue;../fake-data/blob/hipster.png;image/png;generación;7
8;DESHABILITADO;Dir;NO;Arroyo;transform Andalucía Salud;strategize exten;2022-11-23;País alarm;Librería Pequeñ;../fake-data/blob/hipster.png;image/png;Asturias deposit;8
9;HABILITADO;Acc;NO;deposit invoice;sistemática;quantifying;2022-11-23;Investment;Algodón Librerí;../fake-data/blob/hipster.png;image/png;Dominica Grecia;9
10;HABILITADO;met;SI;payment IB;panel;1080p architectu;2022-11-23;Morado Corea;transmitter Atú;../fake-data/blob/hipster.png;image/png;functionalities proporciona;10
