id;activo;tipo_documento;serie;fecha_emision;numero_maximo;numero_ultimo;sucursal_id
1;HABILITADO;BOLETA;pixel;2022-11-23;71785;36513;1
2;DESHABILITADO;TICKET;Bedfords;2022-11-23;12496;11664;2
3;HABILITADO;TICKET;synthesi;2022-11-23;94946;97551;3
4;DESHABILITADO;NOTA_DE_VENTA;Account;2022-11-23;95361;236;4
5;DESHABILITADO;BOLETA;indexing;2022-11-24;29054;53078;5
6;DESHABILITADO;TICKET;tiempo;2022-11-23;12152;47509;6
7;HABILITADO;BOLETA;Violeta;2022-11-23;36343;22383;7
8;DESHABILITADO;FACTURA;Identida;2022-11-23;3830;20290;8
9;HABILITADO;BOLETA;mobile;2022-11-23;10971;6207;9
10;DESHABILITADO;NOTA_DE_VENTA;Gerente ;2022-11-23;80671;58192;10
