id;activo;codigo;nombre;nombre_corto;area_perteneciente_id
1;HABILITADO;Intr;input Humano synthesizing;Vatu utilización;1
2;HABILITADO;Pequ;Peso mobile;móbil;2
3;DESHABILITADO;cont;monitor tolerante;Ejecutivo Palladium;3
4;DESHABILITADO;Baco;Guadalupe Mesa;Guapa;4
5;HABILITADO;with;Desarrollador deposit Normas;Baleares Calidad Rústico;5
6;HABILITADO;Arqu;Bricolaje;Algodón global;6
7;DESHABILITADO;Bici;Bedfordshire;Pelota pixel Teclado;7
8;DESHABILITADO;inde;Plástico Negro;reboot Interacciones Productor;8
9;HABILITADO;SMS;convergence;Salvador Castilla Realineado;9
10;DESHABILITADO;Ladr;Manzana Zapatos;Sorprendente Borders;10
