id;activo;nombre;nombre_corto;descripcion;imagen;imagen_content_type
1;DESHABILITADO;mindshare;Masía;Implementado;../fake-data/blob/hipster.png;image/png
2;DESHABILITADO;programming Congo override;Opcional nueva;synthesize;../fake-data/blob/hipster.png;image/png
3;HABILITADO;Guapo calculate;Fantástico;Marroquinería;../fake-data/blob/hipster.png;image/png
4;HABILITADO;facilitate Implementación;Facilitador;Acero PCI Configuración;../fake-data/blob/hipster.png;image/png
5;DESHABILITADO;Diseñador Holanda;en Salud;Marketing Canada iniciativa;../fake-data/blob/hipster.png;image/png
6;DESHABILITADO;24/7 Madrid;cross-platform Dominicana Oficial;Mauritania Extrarradio mobile;../fake-data/blob/hipster.png;image/png
7;DESHABILITADO;Salida Videojuegos;Clonado;Morado;../fake-data/blob/hipster.png;image/png
8;HABILITADO;distributed Proactivo;RSS architectures radical;por Senior Producto;../fake-data/blob/hipster.png;image/png
9;DESHABILITADO;metrics Navarra;program Andalucía implementación;Futuro reintermediate;../fake-data/blob/hipster.png;image/png
10;DESHABILITADO;La;Heredado;Seguridada Bedfordshire;../fake-data/blob/hipster.png;image/png
