id;activo;nombre;nombre_corto;descripcion;imagen;imagen_content_type;periodo;anio;mes;dia;hora_inicio;hora_fin
1;DESHABILITADO;Fundamental;Hogar Finlandia web-readiness;Maldivas;../fake-data/blob/hipster.png;image/png;bluetooth;parsing generate Datos;synthesizing payment;Ladrillo Algodón;51711;86518
2;DESHABILITADO;reboot infraestructura Orígenes;Metal CSS Avon;Operaciones Marca;../fake-data/blob/hipster.png;image/png;Deportes;Metical;SMTP;Lek Relacciones;90866;7286
3;DESHABILITADO;Bacon Lanka Sorprendente;Bebes quantifying;Plástico SDD;../fake-data/blob/hipster.png;image/png;reboot;target;Koruna optical;e-commerce;80622;25237
4;HABILITADO;implement;withdrawal;Extremadura;../fake-data/blob/hipster.png;image/png;index;Música Verde;Región cultivate;Ingeniería;70153;28804
5;DESHABILITADO;Sorprendente;Peso Innovador;withdrawal Terrenos;../fake-data/blob/hipster.png;image/png;Salchichas;Verde Rioja International;Checking Jardines Violeta;Atún Violeta;24554;99277
6;HABILITADO;Ladrillo synthesizing;transition infrastructures;Vasco Práctico de;../fake-data/blob/hipster.png;image/png;Nacional clicks-and-mortar Senior;deposit Operaciones payment;Vasco bypass Genérico;Jefe Pantalones;5615;65798
7;DESHABILITADO;Krona;Lituania;Madera Guantes;../fake-data/blob/hipster.png;image/png;Sabroso Subida Cantabria;redundant asimétrica;Relacciones;solutions;9491;54824
8;HABILITADO;Oficial seamless;Azul Silla;Analista collaborative HDD;../fake-data/blob/hipster.png;image/png;wireless Moda evolve;Cliente;enable Extremadura program;Salud Inversor;93969;39940
9;DESHABILITADO;Director Música;holística parsing redundant;payment Taiwan Progresivo;../fake-data/blob/hipster.png;image/png;Guinea-Bisau Madera discreta;Sol;Account Seguridada Verde;Dollar;41088;4730
10;HABILITADO;Moda;Colegio initiatives Sorprendente;copy;../fake-data/blob/hipster.png;image/png;gestión;Técnico;Pasaje Pasaje;Guatemala Auto Canarias;99172;15641
